id,neighbourhood,latitude,longitude,availability_365,number_of_reviews,reviews_per_month,minimum_nights,distance_seine,prix_moyen_journalier,periode
5396,Hôtel-de-Ville,48.85247,2.35835,77,425,2.26,3,7.2825083531989945,125.0,dec_2024
9952,Popincourt,48.86238,2.36957,250,52,0.36,4,1370.02903084057,80.0,dec_2024
17287,Buttes-Chaumont,48.89772,2.38508,234,48,0.39,4,5337.01910045314,82.0,dec_2024
21004,Reuilly,48.83797,2.40058,324,129,0.72,2,1466.326793688396,200.0,dec_2024
24151,Panthéon,48.84406,2.34539,364,24,0.14,3,948.4503374707489,200.0,dec_2024
35065,Palais-Bourbon,48.85284,2.32517,290,900,5.19,1,880.3399875721765,270.0,dec_2024
36221,Buttes-Montmartre,48.88324,2.34448,252,4,0.02,3,2770.08839440186,90.0,dec_2024
43027,Buttes-Montmartre,48.88708,2.32658,344,61,0.35,3,2675.7920929435736,180.0,dec_2024
55348,Hôtel-de-Ville,48.85614,2.35878,169,156,1.0,6,381.44727161389767,146.0,dec_2024
65916,Entrepôt,48.87035,2.35786,358,116,0.69,7,1718.186161424006,90.0,dec_2024
71495,Buttes-Chaumont,48.87983,2.39372,309,153,0.92,3,3981.1984660187295,60.0,dec_2024
75708,Ménilmontant,48.86991,2.40193,144,293,1.78,4,3672.909633319642,80.0,dec_2024
81106,Entrepôt,48.8844,2.36091,118,72,0.44,7,3246.3234762030693,115.0,dec_2024
93287,Bourse,48.86706,2.34726,240,387,2.34,3,1102.8459321485248,129.0,dec_2024
105210,Temple,48.86281204223633,2.352993965148926,333,319,1.93,4,810.1076016765894,205.0,dec_2024
109161,Panthéon,48.8445,2.35261,256,182,1.11,7,703.5291965530471,145.0,dec_2024
130420,Opéra,48.87939,2.34436,360,232,1.42,1,2374.1785927024393,180.0,dec_2024
137112,Popincourt,48.855,2.38802,281,210,1.28,5,1936.598714270807,130.0,dec_2024
139889,Buttes-Chaumont,48.89173,2.38043,320,33,0.24,7,4588.9424077724425,240.0,dec_2024
154292,Buttes-Chaumont,48.87417,2.38581,266,65,0.4,3,3127.8685390955334,109.0,dec_2024
157524,Hôtel-de-Ville,48.85413,2.36238,343,111,0.69,2,313.6047917213902,310.0,dec_2024
161979,Buttes-Montmartre,48.89154,2.34969,352,8,0.06,5,3764.0668089988285,60.0,dec_2024
162751,Popincourt,48.8554,2.37887,341,8,0.07,5,1425.5800792981488,60.0,dec_2024
166370,Entrepôt,48.87623,2.36869,364,78,0.48,2,2664.2288109183037,200.0,dec_2024
171159,Élysée,48.87757,2.32685,264,490,3.02,3,1662.862665932873,70.0,dec_2024
311573,Temple,48.86473,2.36387,156,99,0.64,5,1400.553963612107,160.0,dec_2024
312437,Bourse,48.86735153198242,2.345644950866699,144,273,1.76,3,1098.6046746591544,230.0,dec_2024
314294,Reuilly,48.84953,2.38239,133,313,2.03,5,1223.3192654300701,110.0,dec_2024
314903,Popincourt,48.85294,2.37536,87,43,0.28,5,1093.3898240417338,180.0,dec_2024
3109,Observatoire,48.83191,2.3187,350,4,0.05,2,3106.59627922551,100.0,dec_2024
11798,Gobelins,48.82524108886719,2.367469072341919,344,121,0.81,3,1314.0166494258335,120.0,dec_2024
14903,Buttes-Chaumont,48.88277,2.38478,173,8,0.05,7,3893.0990041565396,200.0,dec_2024
24260,Batignolles-Monceau,48.8807,2.30398,355,37,0.21,2,1909.5368168981504,115.0,dec_2024
29386,Gobelins,48.82794375495768,2.34895242921778,24,0,,2,2206.0755064941413,78.0,dec_2024
38650,Popincourt,48.85367,2.37656,263,27,0.16,6,1210.9521430078803,65.0,dec_2024
41106,Hôtel-de-Ville,48.85634,2.35695,257,118,0.68,4,338.5469179213372,275.0,dec_2024
43055,Hôtel-de-Ville,48.85482963649008,2.3602633849721983,303,229,1.32,2,304.8628931240317,130.0,dec_2024
44130,Hôtel-de-Ville,48.85565,2.36155,336,78,0.57,3,429.9630819948862,250.0,dec_2024
45661,Bourse,48.87006,2.34543,298,145,0.85,6,1383.4781294841086,80.0,dec_2024
48498,Louvre,48.86751965494359,2.331969013773704,344,40,0.24,3,797.9050373312692,250.0,dec_2024
48592,Élysée,48.87159,2.309,329,41,0.29,3,877.3366782060478,270.0,dec_2024
53353,Buttes-Montmartre,48.88985,2.35066,349,45,0.26,3,3611.6616724508553,300.0,dec_2024
56662,Buttes-Chaumont,48.87386,2.38231,206,116,0.68,6,2949.633931254291,180.0,dec_2024
58569,Entrepôt,48.87321,2.35207,364,1,0.07,7,1862.0001054923953,140.0,dec_2024
61016,Buttes-Chaumont,48.87322,2.3805,356,47,0.28,3,2817.2311447111706,200.0,dec_2024
78195,Popincourt,48.86798,2.37459,358,4,0.03,2,2093.419004179769,200.0,dec_2024
80327,Buttes-Montmartre,48.88912,2.36154,146,284,1.7,4,3758.973488967011,48.0,dec_2024
86053,Louvre,48.86033,2.34005,318,220,1.38,3,243.37751483624325,300.0,dec_2024
95915,Popincourt,48.85484,2.3897,43,29,0.18,3,2016.697624556459,80.0,dec_2024
110322,Panthéon,48.84096,2.34721,114,25,0.15,5,1220.5172464169164,160.0,dec_2024
115655,Buttes-Montmartre,48.89187,2.36451,179,166,1.31,5,4117.810389223071,140.0,dec_2024
182744,Popincourt,48.85852,2.3698,77,200,1.24,3,1040.2466430267395,180.0,dec_2024
187570,Entrepôt,48.87415,2.36389,73,25,0.16,4,2294.617117218226,190.0,dec_2024
193632,Temple,48.86167,2.35974,318,716,4.45,2,952.3471543605616,100.0,dec_2024
208080,Panthéon,48.85043,2.34916,341,220,1.37,2,189.46806165785424,300.0,dec_2024
214578,Entrepôt,48.87392,2.3553,319,326,2.02,3,2010.6429546917554,170.0,dec_2024
215638,Bourse,48.86638,2.34499,108,251,1.57,2,981.4687341549288,70.0,dec_2024
215763,Entrepôt,48.87143,2.36354,76,180,1.12,3,2014.1660994800143,90.0,dec_2024
221754,Buttes-Chaumont,48.88422,2.36752,250,489,3.05,1,3413.8487368260085,135.0,dec_2024
225747,Luxembourg,48.85381,2.3305,242,87,0.54,7,642.0672174176013,300.0,dec_2024
333104,Buttes-Chaumont,48.8731,2.37672,365,18,0.12,3,2666.0758552600596,290.0,dec_2024
341130,Popincourt,48.86632537841797,2.3755040168762207,365,7,0.05,6,1976.6659943481345,220.0,dec_2024
342902,Vaugirard,48.84372,2.31758,44,117,0.76,3,2034.8807475995725,69.0,dec_2024
343648,Hôtel-de-Ville,48.85746,2.35539,139,540,3.61,2,385.8695526638808,83.0,dec_2024
343721,Temple,48.86337,2.35424,73,112,0.76,2,904.9131904117755,500.0,dec_2024
343862,Louvre,48.85997,2.3454,339,86,0.56,4,310.64213803556476,250.0,dec_2024
344230,Panthéon,48.84801,2.34959,88,73,0.49,5,422.7089912977754,200.0,dec_2024
348747,Élysée,48.883,2.3263,121,211,1.61,2,2228.9942964764505,290.0,dec_2024
352851,Buttes-Montmartre,48.88383,2.33874,44,362,2.34,2,2646.0370640853575,160.0,dec_2024
354929,Entrepôt,48.87115,2.35091,310,98,0.77,6,1617.8745522053866,150.0,dec_2024
371299,Hôtel-de-Ville,48.85729,2.3564,305,612,3.96,3,410.6437875736276,195.0,dec_2024
379527,Entrepôt,48.8696,2.35307,355,7,0.05,3,1503.1952499220474,300.0,dec_2024
390984,Buttes-Montmartre,48.885738,2.340673,264,436,2.87,2,2897.4468872148896,220.0,dec_2024
398860,Temple,48.86766,2.35466,271,31,0.31,4,1345.2843552208208,250.0,dec_2024
406902,Hôtel-de-Ville,48.85532,2.36625,114,331,2.16,2,603.6087297869034,120.0,dec_2024
407717,Ménilmontant,48.856,2.39701,138,67,0.52,3,2502.7072519611047,75.0,dec_2024
413674,Passy,48.83794,2.26274,365,93,0.61,5,258.6851840426274,95.0,dec_2024
418974,Gobelins,48.83476,2.34966,87,33,0.24,3,1659.6884495704417,160.0,dec_2024
419757,Buttes-Montmartre,48.88572,2.35045,135,90,0.59,3,3160.924756039454,150.0,dec_2024
419758,Buttes-Chaumont,48.87974,2.39384,365,139,0.91,5,3978.907498037101,180.0,dec_2024
422295,Buttes-Chaumont,48.89002,2.38395,244,32,0.21,4,4556.062084568675,190.0,dec_2024
423770,Buttes-Montmartre,48.88903,2.36054,319,33,0.22,3,3726.9016842719516,250.0,dec_2024
425908,Reuilly,48.84585,2.39977,340,4,0.03,6,1970.2692506558972,220.0,dec_2024
534650,Bourse,48.86723,2.35212,339,546,3.59,2,1231.1595071537333,80.0,dec_2024
227846,Buttes-Montmartre,48.8914,2.34566,244,25,0.27,3,3621.8972498817466,100.0,dec_2024
229501,Buttes-Montmartre,48.88464,2.33838,175,233,1.54,2,2716.6150966772716,220.0,dec_2024
230036,Buttes-Montmartre,48.88363,2.34667,114,133,0.89,3,2874.392569658174,79.0,dec_2024
231419,Entrepôt,48.88169,2.35995,21,9,0.06,6,2938.4039444948303,90.0,dec_2024
232293,Batignolles-Monceau,48.88484,2.29731,352,130,0.89,3,2138.2215209876113,65.0,dec_2024
233110,Temple,48.86107,2.36545,182,267,1.67,6,1096.2434221061342,240.0,dec_2024
240484,Passy,48.8741419184579,2.284333079697212,341,58,0.38,4,1568.5845479127468,235.0,dec_2024
241715,Buttes-Chaumont,48.8934638,2.3783407,173,0,,5,4689.169637620887,450.0,dec_2024
243245,Opéra,48.88054,2.33135,11,215,1.34,5,2089.6743755727425,95.0,dec_2024
247764,Entrepôt,48.87473,2.36061,341,50,0.31,5,2243.3681846182544,140.0,dec_2024
252095,Buttes-Chaumont,48.88363,2.38024,340,27,0.17,3,3813.634909595214,222.0,dec_2024
253568,Buttes-Chaumont,48.88375,2.37017,166,2,0.01,3,3454.579607752551,129.0,dec_2024
253877,Buttes-Montmartre,48.88578,2.33424,289,245,1.55,1,2709.5280822138348,80.0,dec_2024
262557,Entrepôt,48.87121,2.35996,169,201,1.26,2,1872.3359295850855,97.0,dec_2024
266725,Buttes-Montmartre,48.88715,2.33249,262,171,1.12,2,2805.5277833360205,160.0,dec_2024
270072,Buttes-Chaumont,48.87483,2.38588,173,5,0.03,5,3189.420938059381,300.0,dec_2024
274590,Louvre,48.86633,2.33464,308,51,0.34,4,769.9194514564565,409.0,dec_2024
287674,Hôtel-de-Ville,48.85824,2.35839,304,323,2.22,5,574.7204273444548,175.0,dec_2024
298548,Gobelins,48.83245,2.36658,218,90,0.59,5,870.7795202170131,145.0,dec_2024
302194,Ménilmontant,48.87067,2.37854,166,116,0.76,3,2501.094966300184,86.0,dec_2024
302727,Temple,48.86371,2.35578,364,137,0.89,4,990.1670228894761,140.0,dec_2024
306624,Buttes-Montmartre,48.88415,2.34378,309,252,1.63,2,2835.073458022388,139.0,dec_2024
452481,Batignolles-Monceau,48.8831,2.30383,144,254,1.67,2,2176.569157723288,60.0,dec_2024
452992,Entrepôt,48.88097,2.35096,173,1,0.01,5,2661.598672270164,200.0,dec_2024
458673,Passy,48.84741,2.26113,65,1,0.19,3,922.849187607165,148.0,dec_2024
461860,Buttes-Montmartre,48.88679,2.33384,308,210,1.37,3,2804.4869044577454,115.0,dec_2024
462307,Bourse,48.86572,2.35025,200,178,1.17,2,1028.4352801865741,130.0,dec_2024
462473,Temple,48.85909,2.3665,152,141,0.93,3,940.418223951874,120.0,dec_2024
466434,Passy,48.86529,2.27509,258,123,0.81,4,1342.6508721834687,162.0,dec_2024
468441,Buttes-Montmartre,48.8846,2.33899,230,150,0.99,4,2731.410032915964,79.0,dec_2024
536653,Passy,48.8639,2.28321,364,15,0.19,4,761.8766866153468,285.0,dec_2024
537192,Observatoire,48.82789,2.31624,105,42,0.28,3,3574.918371970722,135.0,dec_2024
