id,neighbourhood,latitude,longitude,availability_365,number_of_reviews,reviews_per_month,minimum_nights,distance_seine,prix_moyen_journalier,periode
3109,Observatoire,48.83191,2.3187,356,4,0.04,2,3106.59627922551,100.0,mars_2025
5396,Hôtel-de-Ville,48.85247,2.35835,114,435,2.28,1,7.2825083531989945,125.0,mars_2025
11798,Gobelins,48.82524108886719,2.367469072341919,342,121,0.8,3,1314.0166494258335,110.0,mars_2025
14903,Buttes-Chaumont,48.88279,2.38642,174,8,0.05,7,3953.1038421634503,200.0,mars_2025
157524,Hôtel-de-Ville,48.85413,2.36238,240,112,0.69,2,313.6047917213902,310.0,mars_2025
161979,Buttes-Montmartre,48.89154,2.34969,362,8,0.06,5,3764.0668089988285,60.0,mars_2025
162751,Popincourt,48.8554,2.37887,288,12,0.1,1,1425.5800792981488,60.0,mars_2025
165409,Temple,48.86652,2.36261,24,114,0.69,3,1513.4969785904664,128.0,mars_2025
166370,Entrepôt,48.87623,2.36869,2,78,0.48,2,2664.2288109183037,200.0,mars_2025
167998,Louvre,48.86638641357422,2.331007957458496,227,195,1.22,1,653.8185553741752,430.0,mars_2025
182744,Popincourt,48.85852,2.3698,56,202,1.23,3,1040.2466430267395,150.0,mars_2025
192162,Panthéon,48.84851,2.35321,6,671,4.37,5,289.50213232389194,78.0,mars_2025
193632,Temple,48.86167,2.35974,240,732,4.46,2,952.3471543605616,100.0,mars_2025
208080,Panthéon,48.85043,2.34916,30,220,1.35,2,189.46806165785424,300.0,mars_2025
214578,Entrepôt,48.87392,2.3553,267,327,1.99,3,2010.6429546917554,170.0,mars_2025
215638,Louvre,48.86457,2.34454,82,251,1.55,2,778.9705069226908,70.0,mars_2025
215763,Entrepôt,48.87143,2.36354,72,181,1.1,3,2014.1660994800143,90.0,mars_2025
220063,Buttes-Montmartre,48.88377,2.34424,292,315,1.93,2,2813.3560983159246,100.0,mars_2025
221754,Buttes-Chaumont,48.88422,2.36752,225,511,3.13,1,3413.8487368260085,135.0,mars_2025
225747,Luxembourg,48.85305,2.33194,219,87,0.53,7,692.9368444412196,300.0,mars_2025
229501,Buttes-Montmartre,48.88464,2.33838,92,236,1.53,2,2716.6150966772716,220.0,mars_2025
230036,Buttes-Montmartre,48.88363,2.34667,57,133,0.88,3,2874.392569658174,79.0,mars_2025
233110,Temple,48.86107,2.36545,98,273,1.67,6,1096.2434221061342,195.0,mars_2025
240484,Passy,48.8741419184579,2.284333079697212,149,58,0.37,5,1568.5845479127468,235.0,mars_2025
241715,Buttes-Chaumont,48.8934638,2.3783407,173,0,,5,4689.169637620887,450.0,mars_2025
243245,Opéra,48.88054,2.33135,89,215,1.32,5,2089.6743755727425,95.0,mars_2025
247764,Entrepôt,48.87473,2.36061,351,50,0.31,5,2243.3681846182544,140.0,mars_2025
251644,Reuilly,48.84735,2.39777,364,15,0.1,6,1955.1005505023054,200.0,mars_2025
252095,Buttes-Chaumont,48.88457,2.38151,362,27,0.17,3,3952.650615982002,222.0,mars_2025
253568,Buttes-Chaumont,48.88375,2.37017,179,2,0.01,3,3454.579607752551,129.0,mars_2025
17287,Buttes-Chaumont,48.89772,2.38508,243,48,0.38,4,5337.01910045314,82.0,mars_2025
21004,Reuilly,48.83797,2.40058,297,129,0.71,2,1466.326793688396,175.0,mars_2025
24151,Panthéon,48.84406,2.34539,341,25,0.14,3,948.4503374707489,200.0,mars_2025
24260,Batignolles-Monceau,48.8809,2.30388,338,40,0.22,2,1931.908588028461,115.0,mars_2025
27967,Entrepôt,48.87081527709961,2.3632121086120605,129,24,0.13,4,1942.5796401234459,200.0,mars_2025
29386,Gobelins,48.82794375495768,2.34895242921778,59,0,,2,2206.0755064941413,78.0,mars_2025
36221,Buttes-Montmartre,48.88324,2.34448,249,4,0.02,3,2770.08839440186,90.0,mars_2025
38650,Popincourt,48.85367,2.37656,279,28,0.16,6,1210.9521430078803,65.0,mars_2025
41106,Hôtel-de-Ville,48.85634,2.35695,249,118,0.67,5,338.5469179213372,275.0,mars_2025
43055,Hôtel-de-Ville,48.85482963649008,2.3602633849721983,241,232,1.32,2,304.8628931240317,130.0,mars_2025
44130,Hôtel-de-Ville,48.85539,2.36306,204,78,0.56,3,457.7444851239934,250.0,mars_2025
45661,Bourse,48.87006,2.34543,273,146,0.84,7,1383.4781294841086,95.0,mars_2025
48592,Élysée,48.87341,2.30778,222,42,0.29,3,1086.4615593097114,270.0,mars_2025
53353,Buttes-Montmartre,48.88985,2.35066,290,45,0.26,2,3611.6616724508553,300.0,mars_2025
55348,Hôtel-de-Ville,48.85614,2.35878,169,160,1.01,6,381.44727161389767,146.0,mars_2025
56662,Buttes-Chaumont,48.87386,2.38231,7,120,0.69,6,2949.633931254291,180.0,mars_2025
58569,Entrepôt,48.87485,2.3507,364,1,0.06,7,2004.701369766542,140.0,mars_2025
61016,Buttes-Chaumont,48.87322,2.3805,364,47,0.28,3,2817.2311447111706,200.0,mars_2025
